,onetsoc_code,element_id,scale_id,data_value
0,11-1011.00,2.C.1.a_IM,IM,4.75
1,11-1011.00,2.C.1.a_LV,LV,6.23
2,11-1011.00,2.C.1.b_IM,IM,2.66
3,11-1011.00,2.C.1.b_LV,LV,3.5
4,11-1011.00,2.C.1.c_IM,IM,3.7
5,11-1011.00,2.C.1.c_LV,LV,4.36
6,11-1011.00,2.C.1.d_IM,IM,3.23
7,11-1011.00,2.C.1.d_LV,LV,3.9
8,11-1011.00,2.C.1.e_IM,IM,4.09
9,11-1011.00,2.C.1.e_LV,LV,5.55
10,11-1011.00,2.C.1.f_IM,IM,4.1
11,11-1011.00,2.C.1.f_LV,LV,5.02
12,11-1011.00,2.C.2.a_IM,IM,2.63
13,11-1011.00,2.C.2.a_LV,LV,2.92
14,11-1011.00,2.C.2.b_IM,IM,1.1400000000000001
15,11-1011.00,2.C.2.b_LV,LV,0.29
16,11-1011.00,2.C.3.a_IM,IM,2.23
17,11-1011.00,2.C.3.a_LV,LV,2.54
18,11-1011.00,2.C.3.b_IM,IM,1.75
19,11-1011.00,2.C.3.b_LV,LV,1.5899999999999999
20,11-1011.00,2.C.3.c_IM,IM,2.05
21,11-1011.00,2.C.3.c_LV,LV,2.04
22,11-1011.00,2.C.3.d_IM,IM,2.11
23,11-1011.00,2.C.3.d_LV,LV,2.0
24,11-1011.00,2.C.3.e_IM,IM,1.67
25,11-1011.00,2.C.3.e_LV,LV,1.05
26,11-1011.00,2.C.4.a_IM,IM,3.4
27,11-1011.00,2.C.4.a_LV,LV,4.23
28,11-1011.00,2.C.4.b_IM,IM,1.23
29,11-1011.00,2.C.4.b_LV,LV,0.41000000000000003
30,11-1011.00,2.C.4.c_IM,IM,1.43
31,11-1011.00,2.C.4.c_LV,LV,0.9500000000000001
32,11-1011.00,2.C.4.d_IM,IM,1.34
33,11-1011.00,2.C.4.d_LV,LV,0.56
34,11-1011.00,2.C.4.e_IM,IM,3.1
35,11-1011.00,2.C.4.e_LV,LV,3.94
36,11-1011.00,2.C.4.f_IM,IM,2.61
37,11-1011.00,2.C.4.f_LV,LV,2.99
38,11-1011.00,2.C.4.g_IM,IM,1.5899999999999999
39,11-1011.00,2.C.4.g_LV,LV,1.29
40,11-1011.00,2.C.5.a_IM,IM,1.35
41,11-1011.00,2.C.5.a_LV,LV,0.73
42,11-1011.00,2.C.5.b_IM,IM,2.0
43,11-1011.00,2.C.5.b_LV,LV,2.5
44,11-1011.00,2.C.6_IM,IM,3.24
45,11-1011.00,2.C.6_LV,LV,4.45
46,11-1011.00,2.C.7.a_IM,IM,4.07
47,11-1011.00,2.C.7.a_LV,LV,4.5600000000000005
48,11-1011.00,2.C.7.b_IM,IM,1.56
49,11-1011.00,2.C.7.b_LV,LV,0.78
50,11-1011.00,2.C.7.c_IM,IM,1.43
51,11-1011.00,2.C.7.c_LV,LV,0.87
52,11-1011.00,2.C.7.d_IM,IM,1.48
53,11-1011.00,2.C.7.d_LV,LV,1.09
54,11-1011.00,2.C.7.e_IM,IM,1.7000000000000002
55,11-1011.00,2.C.7.e_LV,LV,1.82
56,11-1011.00,2.C.8.a_IM,IM,3.3
57,11-1011.00,2.C.8.a_LV,LV,3.61
