,onetsoc_code,element_id,scale_id,data_value
0,11-1011.00,2.A.1.a_IM,IM,4.12
1,11-1011.00,2.A.1.a_LV,LV,4.75
2,11-1011.00,2.A.1.b_IM,IM,4.12
3,11-1011.00,2.A.1.b_LV,LV,4.88
4,11-1011.00,2.A.1.c_IM,IM,4.0
5,11-1011.00,2.A.1.c_LV,LV,4.38
6,11-1011.00,2.A.1.d_IM,IM,4.38
7,11-1011.00,2.A.1.d_LV,LV,4.88
8,11-1011.00,2.A.1.e_IM,IM,3.25
9,11-1011.00,2.A.1.e_LV,LV,3.62
10,11-1011.00,2.A.1.f_IM,IM,1.88
11,11-1011.00,2.A.1.f_LV,LV,1.12
12,11-1011.00,2.A.2.a_IM,IM,4.38
13,11-1011.00,2.A.2.a_LV,LV,4.75
14,11-1011.00,2.A.2.b_IM,IM,4.0
15,11-1011.00,2.A.2.b_LV,LV,4.75
16,11-1011.00,2.A.2.c_IM,IM,3.12
17,11-1011.00,2.A.2.c_LV,LV,3.88
18,11-1011.00,2.A.2.d_IM,IM,4.12
19,11-1011.00,2.A.2.d_LV,LV,5.5
20,11-1011.00,2.B.1.a_IM,IM,4.25
21,11-1011.00,2.B.1.a_LV,LV,4.25
22,11-1011.00,2.B.1.b_IM,IM,4.25
23,11-1011.00,2.B.1.b_LV,LV,5.12
24,11-1011.00,2.B.1.c_IM,IM,4.12
25,11-1011.00,2.B.1.c_LV,LV,5.0
26,11-1011.00,2.B.1.d_IM,IM,4.12
27,11-1011.00,2.B.1.d_LV,LV,4.62
28,11-1011.00,2.B.1.e_IM,IM,3.12
29,11-1011.00,2.B.1.e_LV,LV,3.88
30,11-1011.00,2.B.1.f_IM,IM,3.12
31,11-1011.00,2.B.1.f_LV,LV,3.38
32,11-1011.00,2.B.2.i_IM,IM,4.38
33,11-1011.00,2.B.2.i_LV,LV,5.0
34,11-1011.00,2.B.3.a_IM,IM,3.12
35,11-1011.00,2.B.3.a_LV,LV,4.25
36,11-1011.00,2.B.3.b_IM,IM,1.75
37,11-1011.00,2.B.3.b_LV,LV,0.75
38,11-1011.00,2.B.3.c_IM,IM,1.12
39,11-1011.00,2.B.3.c_LV,LV,0.62
40,11-1011.00,2.B.3.d_IM,IM,1.0
41,11-1011.00,2.B.3.d_LV,LV,0.0
42,11-1011.00,2.B.3.e_IM,IM,1.62
43,11-1011.00,2.B.3.e_LV,LV,0.62
44,11-1011.00,2.B.3.g_IM,IM,1.88
45,11-1011.00,2.B.3.g_LV,LV,1.62
46,11-1011.00,2.B.3.h_IM,IM,1.75
47,11-1011.00,2.B.3.h_LV,LV,1.5
48,11-1011.00,2.B.3.j_IM,IM,1.0
49,11-1011.00,2.B.3.j_LV,LV,0.0
50,11-1011.00,2.B.3.k_IM,IM,1.0
51,11-1011.00,2.B.3.k_LV,LV,0.0
52,11-1011.00,2.B.3.l_IM,IM,1.0
53,11-1011.00,2.B.3.l_LV,LV,0.0
54,11-1011.00,2.B.3.m_IM,IM,1.75
55,11-1011.00,2.B.3.m_LV,LV,1.0
56,11-1011.00,2.B.4.e_IM,IM,4.5
57,11-1011.00,2.B.4.e_LV,LV,5.75
58,11-1011.00,2.B.4.g_IM,IM,4.12
59,11-1011.00,2.B.4.g_LV,LV,5.38
60,11-1011.00,2.B.4.h_IM,IM,4.12
61,11-1011.00,2.B.4.h_LV,LV,5.12
62,11-1011.00,2.B.5.a_IM,IM,4.0
63,11-1011.00,2.B.5.a_LV,LV,4.75
64,11-1011.00,2.B.5.b_IM,IM,4.12
65,11-1011.00,2.B.5.b_LV,LV,5.5
66,11-1011.00,2.B.5.c_IM,IM,3.88
67,11-1011.00,2.B.5.c_LV,LV,4.75
68,11-1011.00,2.B.5.d_IM,IM,4.25
69,11-1011.00,2.B.5.d_LV,LV,5.38
70,11-1011.03,2.A.1.a_IM,IM,4.0
71,11-1011.03,2.A.1.a_LV,LV,4.25
72,11-1011.03,2.A.1.b_IM,IM,3.88
73,11-1011.03,2.A.1.b_LV,LV,4.12
74,11-1011.03,2.A.1.c_IM,IM,3.88
75,11-1011.03,2.A.1.c_LV,LV,4.38
76,11-1011.03,2.A.1.d_IM,IM,4.0
77,11-1011.03,2.A.1.d_LV,LV,4.25
78,11-1011.03,2.A.1.e_IM,IM,2.75
79,11-1011.03,2.A.1.e_LV,LV,3.38
80,11-1011.03,2.A.1.f_IM,IM,1.75
81,11-1011.03,2.A.1.f_LV,LV,1.5
82,11-1011.03,2.A.2.a_IM,IM,4.0
83,11-1011.03,2.A.2.a_LV,LV,4.12
84,11-1011.03,2.A.2.b_IM,IM,3.5
85,11-1011.03,2.A.2.b_LV,LV,3.75
86,11-1011.03,2.A.2.c_IM,IM,3.38
87,11-1011.03,2.A.2.c_LV,LV,3.5
88,11-1011.03,2.A.2.d_IM,IM,3.62
89,11-1011.03,2.A.2.d_LV,LV,4.12
90,11-1011.03,2.B.1.a_IM,IM,3.75
91,11-1011.03,2.B.1.a_LV,LV,3.62
92,11-1011.03,2.B.1.b_IM,IM,3.62
93,11-1011.03,2.B.1.b_LV,LV,3.75
94,11-1011.03,2.B.1.c_IM,IM,3.62
95,11-1011.03,2.B.1.c_LV,LV,3.88
96,11-1011.03,2.B.1.d_IM,IM,2.88
97,11-1011.03,2.B.1.d_LV,LV,3.25
98,11-1011.03,2.B.1.e_IM,IM,3.25
99,11-1011.03,2.B.1.e_LV,LV,3.38
100,11-1011.03,2.B.1.f_IM,IM,3.25
101,11-1011.03,2.B.1.f_LV,LV,3.38
102,11-1011.03,2.B.2.i_IM,IM,4.0
103,11-1011.03,2.B.2.i_LV,LV,4.25
104,11-1011.03,2.B.3.a_IM,IM,2.62
105,11-1011.03,2.B.3.a_LV,LV,3.38
106,11-1011.03,2.B.3.b_IM,IM,1.62
107,11-1011.03,2.B.3.b_LV,LV,1.0
108,11-1011.03,2.B.3.c_IM,IM,1.12
109,11-1011.03,2.B.3.c_LV,LV,0.5
110,11-1011.03,2.B.3.d_IM,IM,1.0
111,11-1011.03,2.B.3.d_LV,LV,0.0
112,11-1011.03,2.B.3.e_IM,IM,1.62
113,11-1011.03,2.B.3.e_LV,LV,0.88
114,11-1011.03,2.B.3.g_IM,IM,2.25
115,11-1011.03,2.B.3.g_LV,LV,2.12
116,11-1011.03,2.B.3.h_IM,IM,1.62
117,11-1011.03,2.B.3.h_LV,LV,1.25
118,11-1011.03,2.B.3.j_IM,IM,1.0
119,11-1011.03,2.B.3.j_LV,LV,0.0
120,11-1011.03,2.B.3.k_IM,IM,1.12
121,11-1011.03,2.B.3.k_LV,LV,0.12
122,11-1011.03,2.B.3.l_IM,IM,1.0
123,11-1011.03,2.B.3.l_LV,LV,0.0
124,11-1011.03,2.B.3.m_IM,IM,2.25
125,11-1011.03,2.B.3.m_LV,LV,2.12
126,11-1011.03,2.B.4.e_IM,IM,3.75
127,11-1011.03,2.B.4.e_LV,LV,3.75
128,11-1011.03,2.B.4.g_IM,IM,3.62
129,11-1011.03,2.B.4.g_LV,LV,3.88
130,11-1011.03,2.B.4.h_IM,IM,3.62
131,11-1011.03,2.B.4.h_LV,LV,3.75
132,11-1011.03,2.B.5.a_IM,IM,3.38
133,11-1011.03,2.B.5.a_LV,LV,3.5
134,11-1011.03,2.B.5.b_IM,IM,2.62
135,11-1011.03,2.B.5.b_LV,LV,3.38
136,11-1011.03,2.B.5.c_IM,IM,2.38
137,11-1011.03,2.B.5.c_LV,LV,2.62
138,11-1011.03,2.B.5.d_IM,IM,3.38
139,11-1011.03,2.B.5.d_LV,LV,3.75
140,11-1021.00,2.A.1.a_IM,IM,3.88
141,11-1021.00,2.A.1.a_LV,LV,4.0
142,11-1021.00,2.A.1.b_IM,IM,4.0
143,11-1021.00,2.A.1.b_LV,LV,4.0
144,11-1021.00,2.A.1.c_IM,IM,3.25
145,11-1021.00,2.A.1.c_LV,LV,3.88
146,11-1021.00,2.A.1.d_IM,IM,4.0
147,11-1021.00,2.A.1.d_LV,LV,4.0
148,11-1021.00,2.A.1.e_IM,IM,2.38
149,11-1021.00,2.A.1.e_LV,LV,2.5
150,11-1021.00,2.A.1.f_IM,IM,1.88
151,11-1021.00,2.A.1.f_LV,LV,1.12
152,11-1021.00,2.A.2.a_IM,IM,3.88
153,11-1021.00,2.A.2.a_LV,LV,4.0
154,11-1021.00,2.A.2.b_IM,IM,3.5
155,11-1021.00,2.A.2.b_LV,LV,3.62
156,11-1021.00,2.A.2.c_IM,IM,3.0
157,11-1021.00,2.A.2.c_LV,LV,3.25
158,11-1021.00,2.A.2.d_IM,IM,4.0
159,11-1021.00,2.A.2.d_LV,LV,4.0
160,11-1021.00,2.B.1.a_IM,IM,4.0
161,11-1021.00,2.B.1.a_LV,LV,4.0
162,11-1021.00,2.B.1.b_IM,IM,4.0
163,11-1021.00,2.B.1.b_LV,LV,3.88
164,11-1021.00,2.B.1.c_IM,IM,3.38
165,11-1021.00,2.B.1.c_LV,LV,3.5
166,11-1021.00,2.B.1.d_IM,IM,3.62
167,11-1021.00,2.B.1.d_LV,LV,3.62
168,11-1021.00,2.B.1.e_IM,IM,3.12
169,11-1021.00,2.B.1.e_LV,LV,3.25
170,11-1021.00,2.B.1.f_IM,IM,3.25
171,11-1021.00,2.B.1.f_LV,LV,3.12
172,11-1021.00,2.B.2.i_IM,IM,3.5
173,11-1021.00,2.B.2.i_LV,LV,3.75
174,11-1021.00,2.B.3.a_IM,IM,2.75
175,11-1021.00,2.B.3.a_LV,LV,3.12
176,11-1021.00,2.B.3.b_IM,IM,1.88
177,11-1021.00,2.B.3.b_LV,LV,1.12
178,11-1021.00,2.B.3.c_IM,IM,1.0
179,11-1021.00,2.B.3.c_LV,LV,0.0
180,11-1021.00,2.B.3.d_IM,IM,1.0
181,11-1021.00,2.B.3.d_LV,LV,0.0
182,11-1021.00,2.B.3.e_IM,IM,1.5
183,11-1021.00,2.B.3.e_LV,LV,0.62
184,11-1021.00,2.B.3.g_IM,IM,2.75
185,11-1021.00,2.B.3.g_LV,LV,2.62
186,11-1021.00,2.B.3.h_IM,IM,2.0
187,11-1021.00,2.B.3.h_LV,LV,1.75
188,11-1021.00,2.B.3.j_IM,IM,1.0
189,11-1021.00,2.B.3.j_LV,LV,0.0
190,11-1021.00,2.B.3.k_IM,IM,2.0
191,11-1021.00,2.B.3.k_LV,LV,1.38
192,11-1021.00,2.B.3.l_IM,IM,1.0
193,11-1021.00,2.B.3.l_LV,LV,0.0
194,11-1021.00,2.B.3.m_IM,IM,2.38
195,11-1021.00,2.B.3.m_LV,LV,2.12
196,11-1021.00,2.B.4.e_IM,IM,3.5
197,11-1021.00,2.B.4.e_LV,LV,3.75
198,11-1021.00,2.B.4.g_IM,IM,3.0
199,11-1021.00,2.B.4.g_LV,LV,3.0
200,11-1021.00,2.B.4.h_IM,IM,3.0
201,11-1021.00,2.B.4.h_LV,LV,3.12
202,11-1021.00,2.B.5.a_IM,IM,3.75
203,11-1021.00,2.B.5.a_LV,LV,3.75
204,11-1021.00,2.B.5.b_IM,IM,3.12
205,11-1021.00,2.B.5.b_LV,LV,3.38
206,11-1021.00,2.B.5.c_IM,IM,3.25
207,11-1021.00,2.B.5.c_LV,LV,3.25
208,11-1021.00,2.B.5.d_IM,IM,3.5
209,11-1021.00,2.B.5.d_LV,LV,3.88
210,11-2011.00,2.A.1.a_IM,IM,3.75
211,11-2011.00,2.A.1.a_LV,LV,4.0
212,11-2011.00,2.A.1.b_IM,IM,4.12
213,11-2011.00,2.A.1.b_LV,LV,4.12
214,11-2011.00,2.A.1.c_IM,IM,3.75
215,11-2011.00,2.A.1.c_LV,LV,3.88
216,11-2011.00,2.A.1.d_IM,IM,4.0
217,11-2011.00,2.A.1.d_LV,LV,4.12
218,11-2011.00,2.A.1.e_IM,IM,3.0
219,11-2011.00,2.A.1.e_LV,LV,3.25
220,11-2011.00,2.A.1.f_IM,IM,1.62
221,11-2011.00,2.A.1.f_LV,LV,0.62
222,11-2011.00,2.A.2.a_IM,IM,4.0
223,11-2011.00,2.A.2.a_LV,LV,4.12
224,11-2011.00,2.A.2.b_IM,IM,3.25
225,11-2011.00,2.A.2.b_LV,LV,4.12
226,11-2011.00,2.A.2.c_IM,IM,3.0
227,11-2011.00,2.A.2.c_LV,LV,3.25
228,11-2011.00,2.A.2.d_IM,IM,3.25
229,11-2011.00,2.A.2.d_LV,LV,4.25
230,11-2011.00,2.B.1.a_IM,IM,4.0
231,11-2011.00,2.B.1.a_LV,LV,4.0
232,11-2011.00,2.B.1.b_IM,IM,3.5
233,11-2011.00,2.B.1.b_LV,LV,4.12
234,11-2011.00,2.B.1.c_IM,IM,3.38
235,11-2011.00,2.B.1.c_LV,LV,3.88
236,11-2011.00,2.B.1.d_IM,IM,3.12
237,11-2011.00,2.B.1.d_LV,LV,3.75
238,11-2011.00,2.B.1.e_IM,IM,2.88
239,11-2011.00,2.B.1.e_LV,LV,3.0
240,11-2011.00,2.B.1.f_IM,IM,3.12
241,11-2011.00,2.B.1.f_LV,LV,3.25
242,11-2011.00,2.B.2.i_IM,IM,3.5
243,11-2011.00,2.B.2.i_LV,LV,3.88
244,11-2011.00,2.B.3.a_IM,IM,2.75
245,11-2011.00,2.B.3.a_LV,LV,3.12
246,11-2011.00,2.B.3.b_IM,IM,1.75
247,11-2011.00,2.B.3.b_LV,LV,0.75
248,11-2011.00,2.B.3.c_IM,IM,1.12
249,11-2011.00,2.B.3.c_LV,LV,0.12
250,11-2011.00,2.B.3.d_IM,IM,1.0
251,11-2011.00,2.B.3.d_LV,LV,0.0
252,11-2011.00,2.B.3.e_IM,IM,1.75
253,11-2011.00,2.B.3.e_LV,LV,0.75
254,11-2011.00,2.B.3.g_IM,IM,1.62
255,11-2011.00,2.B.3.g_LV,LV,0.62
256,11-2011.00,2.B.3.h_IM,IM,1.0
257,11-2011.00,2.B.3.h_LV,LV,0.0
258,11-2011.00,2.B.3.j_IM,IM,1.0
259,11-2011.00,2.B.3.j_LV,LV,0.0
260,11-2011.00,2.B.3.k_IM,IM,1.0
261,11-2011.00,2.B.3.k_LV,LV,0.0
262,11-2011.00,2.B.3.l_IM,IM,1.0
263,11-2011.00,2.B.3.l_LV,LV,0.0
264,11-2011.00,2.B.3.m_IM,IM,1.62
265,11-2011.00,2.B.3.m_LV,LV,1.0
266,11-2011.00,2.B.4.e_IM,IM,3.75
267,11-2011.00,2.B.4.e_LV,LV,4.0
268,11-2011.00,2.B.4.g_IM,IM,3.12
269,11-2011.00,2.B.4.g_LV,LV,3.12
270,11-2011.00,2.B.4.h_IM,IM,3.12
271,11-2011.00,2.B.4.h_LV,LV,3.75
272,11-2011.00,2.B.5.a_IM,IM,3.5
