,onetsoc_code,element_id,scale_id,data_value
0,11-1011.00,4.A.1.a.1_IM,IM,4.72
1,11-1011.00,4.A.1.a.1_LV,LV,5.35
2,11-1011.00,4.A.1.a.2_IM,IM,3.68
3,11-1011.00,4.A.1.a.2_LV,LV,4.76
4,11-1011.00,4.A.1.b.1_IM,IM,4.2
5,11-1011.00,4.A.1.b.1_LV,LV,4.91
6,11-1011.00,4.A.1.b.2_IM,IM,2.38
7,11-1011.00,4.A.1.b.2_LV,LV,2.11
8,11-1011.00,4.A.1.b.3_IM,IM,3.59
9,11-1011.00,4.A.1.b.3_LV,LV,3.7199999999999998
10,11-1011.00,4.A.2.a.1_IM,IM,4.35
11,11-1011.00,4.A.2.a.1_LV,LV,5.39
12,11-1011.00,4.A.2.a.2_IM,IM,4.03
13,11-1011.00,4.A.2.a.2_LV,LV,5.33
14,11-1011.00,4.A.2.a.3_IM,IM,4.22
15,11-1011.00,4.A.2.a.3_LV,LV,5.39
16,11-1011.00,4.A.2.a.4_IM,IM,4.36
17,11-1011.00,4.A.2.a.4_LV,LV,5.38
18,11-1011.00,4.A.2.b.1_IM,IM,4.74
19,11-1011.00,4.A.2.b.1_LV,LV,6.18
20,11-1011.00,4.A.2.b.2_IM,IM,3.86
21,11-1011.00,4.A.2.b.2_LV,LV,4.88
22,11-1011.00,4.A.2.b.3_IM,IM,4.06
23,11-1011.00,4.A.2.b.3_LV,LV,4.92
24,11-1011.00,4.A.2.b.4_IM,IM,4.5
25,11-1011.00,4.A.2.b.4_LV,LV,5.68
26,11-1011.00,4.A.2.b.5_IM,IM,3.36
27,11-1011.00,4.A.2.b.5_LV,LV,4.24
28,11-1011.00,4.A.2.b.6_IM,IM,4.18
29,11-1011.00,4.A.2.b.6_LV,LV,5.79
30,11-1011.00,4.A.3.a.1_IM,IM,1.3900000000000001
31,11-1011.00,4.A.3.a.1_LV,LV,0.8
32,11-1011.00,4.A.3.a.2_IM,IM,1.34
33,11-1011.00,4.A.3.a.2_LV,LV,0.76
34,11-1011.00,4.A.3.a.3_IM,IM,1.4
